,Symbol,Name,52 Week High,52 Week Low
0,MMM,3M Company,175.49,259.77
1,AOS,A.O. Smith Corp,48.925,68.39
2,ABT,Abbott Laboratories,42.28,64.6
3,ABBV,AbbVie Inc.,60.05,125.86
4,ACN,Accenture plc,114.82,162.6
5,ATVI,Activision Blizzard,38.93,74.945
6,AYI,Acuity Brands Inc,142.0,225.36
7,ADBE,Adobe Systems Inc,114.45100000000001,204.45
8,AAP,Advance Auto Parts,78.81,169.55
9,AMD,Advanced Micro Devices Inc,9.7,15.65
10,AES,AES Corp,10.0,12.05
11,AET,Aetna Inc,119.51,194.4
12,AMG,Affiliated Managers Group Inc,148.81,216.995
13,AFL,AFLAC Inc,68.8,91.73
14,A,Agilent Technologies Inc,49.23,75.0
15,APD,Air Products & Chemicals Inc,133.6301,175.17
16,AKAM,Akamai Technologies Inc,44.65,69.56
17,ALK,Alaska Air Group Inc,59.25,101.43
18,ALB,Albemarle Corp,90.35,144.99
19,ARE,Alexandria Real Estate Equities Inc,106.89,134.37
20,ALXN,Alexion Pharmaceuticals,96.18,149.34
21,ALGN,Align Technology,92.61,287.32
22,ALLE,Allegion,66.72,89.81
23,AGN,"Allergan, Plc",160.07,256.8
24,ADS,Alliance Data Systems,209.0,278.33
25,LNT,Alliant Energy Corp,36.84,45.55
26,ALL,Allstate Corp,77.73,105.36
27,GOOGL,Alphabet Inc Class A,824.3,1198.0
28,GOOG,Alphabet Inc Class C,803.1903,1186.89
29,MO,Altria Group Inc,60.01,77.79
30,AMZN,Amazon.com Inc,812.5,1498.0
31,AEE,Ameren Corp,51.81,64.89
32,AAL,American Airlines Group,39.21,59.08
33,AEP,American Electric Power,62.69,78.07
34,AXP,American Express Co,75.51,102.385
35,AIG,"American International Group, Inc.",57.85,67.3
36,AMT,American Tower Corp A,103.36,155.28
37,AWK,American Water Works Company Inc,71.89,92.37
38,AMP,Ameriprise Financial,118.84,183.9
39,ABC,AmerisourceBergen Corp,71.9,106.27
40,AME,AMETEK Inc,51.31,78.51
41,AMGN,Amgen Inc,152.16,201.23
42,APH,Amphenol Corp,67.26,93.62
43,APC,Anadarko Petroleum Corp,39.96,70.0
44,ADI,"Analog Devices, Inc.",74.65,98.38
45,ANDV,Andeavor,75.11,121.71
46,ANSS,ANSYS,94.52,164.9
47,ANTM,Anthem Inc.,156.81,267.95
48,AON,Aon plc,113.2201,152.78
49,APA,Apache Corporation,38.14,57.9
50,AIV,Apartment Investment & Management,38.85,46.855
51,AAPL,Apple Inc.,131.12,180.1
52,AMAT,Applied Materials Inc,34.58,60.89
53,APTV,Aptiv Plc,82.97,96.91
54,ADM,Archer-Daniels-Midland Co,38.59,47.44
55,ARNC,Arconic Inc,21.755,31.17
56,AJG,Arthur J. Gallagher & Co.,53.63,70.55
57,AIZ,Assurant Inc,85.91,106.985
58,T,AT&T Inc,32.55,42.7
59,ADSK,Autodesk Inc,81.75,131.1
60,ADP,Automatic Data Processing,95.5,125.24
61,AZO,AutoZone Inc,491.13,797.89
62,AVB,"AvalonBay Communities, Inc.",156.01,199.52
63,AVY,Avery Dennison Corp,78.471,123.67
64,BHGE,"Baker Hughes, a GE Company",28.03,57.73
65,BLL,Ball Corp,35.6,43.24
66,BAC,Bank of America Corp,22.07,32.67
67,BAX,Baxter International Inc.,48.15,72.58
68,BBT,BB&T Corporation,41.17,55.99
69,BDX,Becton Dickinson,175.66,248.3888
70,BRK.B,Berkshire Hathaway,160.93,217.62
71,BBY,Best Buy Co. Inc.,41.67,78.59
72,BIIB,Biogen Inc.,244.28,370.57
73,BLK,BlackRock,368.0,594.52
74,HRB,Block H&R,19.85,31.8
75,BA,Boeing Company,163.69,361.45
76,BWA,BorgWarner,37.54,58.22
77,BXP,Boston Properties,111.87,140.13
78,BSX,Boston Scientific,23.29,29.93
79,BHF,Brighthouse Financial Inc,52.751000000000005,75.0
80,BMY,Bristol-Myers Squibb,51.12,66.1
81,AVGO,Broadcom,202.61,285.68
82,BF.B,Brown-Forman Corp.,45.415,69.9028
83,CHRW,C. H. Robinson Worldwide,63.41,100.18
84,CA,"CA, Inc.",30.45,36.56
85,COG,Cabot Oil & Gas,21.4,29.57
86,CDNS,Cadence Design Systems,29.01,46.0
87,CPB,Campbell Soup,43.5,64.23
88,COF,Capital One Financial,76.05,106.5
89,CAH,Cardinal Health Inc.,54.66,84.88
90,KMX,Carmax Inc,54.29,77.64
91,CCL,Carnival Corp.,54.75,72.7
92,CAT,Caterpillar Inc.,90.34,173.24
93,CBOE,CBOE Holdings,76.75,138.54
94,CBG,CBRE Group,30.43,46.6
95,CBS,CBS Corp.,52.75,70.095
96,CELG,Celgene Corp.,92.85,147.17
97,CNC,Centene Corporation,65.03,112.42
98,CNP,CenterPoint Energy,25.51,30.45
99,CTL,CenturyLink Inc,13.161,27.61
100,CERN,Cerner,51.2617,73.86
101,CF,CF Industries Holdings Inc,25.04,43.98
102,SCHW,Charles Schwab Corporation,37.16,56.25
103,CHTR,Charter Communications,308.3,408.83
104,CHK,Chesapeake Energy,2.8,6.59
105,CVX,Chevron Corp.,102.55,133.88
